company_name,totalScore,reviewsCount,street,city,state,country,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,google_maps_url,categoryName,email,lead_score
DSA Dermatology,4.9,1451,5072 W Plano Pkwy #150,Plano,Texas,US,http://www.dsadermatology.com/,(972) 985-7100,Dermatologist,Laser hair removal service,Skin care clinic,,,,,,,,https://www.google.com/maps/search/?api=1&query=DSA%20Dermatology&query_place_id=ChIJx2mWJV4iTIYR5rjlIJLxZIA,Dermatologist,,55
Express Health Systems,4.8,459,230 W Parker Rd suite 210a,Plano,Texas,US,https://www.expresshealthsystems.com/,(469) 786-1751,Weight loss service,Walk-in clinic,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Express%20Health%20Systems&query_place_id=ChIJNQ4kYlMYTIYRkN0KEQtaKqA,Weight loss service,,55
Johnny Rodriguez The Salon,4.8,502,7500 Windrose Ave. b193,Plano,Texas,US,https://www.johnnyrodriguezsalon.com/,(214) 987-1919,Hair salon,Beauty salon,Hair extension technician,Stylist,Hairdresser,,,,,,https://www.google.com/maps/search/?api=1&query=Johnny%20Rodriguez%20The%20Salon&query_place_id=ChIJ5y1r6E09TIYRPURgvqRvXgU,Hair salon,,55
sugaringLA,5.0,112,5700 Legacy Dr A3,Plano,Texas,US,https://www.sugaringla.com/plano-tx/,(972) 608-3668,Waxing hair removal service,Eyebrow bar,Eyelash salon,Facial spa,,,,,,,https://www.google.com/maps/search/?api=1&query=sugaringLA&query_place_id=ChIJDb5orS49TIYRAKUs-xXIfl8,Waxing hair removal service,,55
Total Med Solutions,4.8,910,6101 Windcom Ct #300,Plano,Texas,US,https://totalmedsolutions.com/,(214) 987-9203,Medical spa,Health spa,Women's health clinic,,,,,,,,https://www.google.com/maps/search/?api=1&query=Total%20Med%20Solutions&query_place_id=ChIJwdaTIF8jTIYR4AGCX3n8fno,Medical spa,,55
McGuiness Dermatology,4.9,2447,6000 W Spring Creek Pkwy Suite 200,Plano,Texas,US,https://mcguinessdermatology.com/,(972) 316-4555,Dermatologist,Plastic surgeon,Wellness center,,,,,,,,https://www.google.com/maps/search/?api=1&query=McGuiness%20Dermatology&query_place_id=ChIJUTM9KV8jTIYRo1-2073fMiU,Dermatologist,,55
Daniela Bell Makeup Studio,4.9,167,1921 Preston Rd suite 2066 room 145,Plano,Texas,US,https://www.danielabellbeauty.com/,(469) 714-5781,Permanent make-up clinic,Beauty school,Hair salon,Make-up artist,,,,,,,https://www.google.com/maps/search/?api=1&query=Daniela%20Bell%20Makeup%20Studio&query_place_id=ChIJ9Y3pKqojTIYRjJDqTbCJxt8,Permanent make-up clinic,,55
Esthetic Image Dentistry,4.9,105,4708 W Plano Pkwy STE 100,Plano,Texas,US,http://www.estheticimagedentistry.com/,(972) 612-8388,Dentist,Cosmetic dentist,Dental implants provider,,,,,,,,https://www.google.com/maps/search/?api=1&query=Esthetic%20Image%20Dentistry&query_place_id=ChIJdbZ4PE0iTIYRKg2Fb7Nwgkc,Dentist,,55
Herzog Vitality Center,4.9,117,1820 Preston Park Blvd #1600,Plano,Texas,US,https://herzogvitalitycenter.com/,(972) 833-6200,Wellness center,Health consultant,Health counselor,,,,,,,,https://www.google.com/maps/search/?api=1&query=Herzog%20Vitality%20Center&query_place_id=ChIJweTBmp4kTIYRErmF-7FregY,Wellness center,,55
Plano Plastic Surgery,4.8,161,4100 W 15th St STE 106,Plano,Texas,US,https://dryaker.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,(972) 985-7474,Plastic surgeon,Surgeon,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Plano%20Plastic%20Surgery&query_place_id=ChIJ238AKWgiTIYRX2FFOOfE3xs,Plastic surgeon,,55
"Trissa Connors, MD, FAAD",4.9,178,2000 Dallas Pkwy Suite 200,Plano,Texas,US,https://www.evolvederm.com/,(214) 550-4890,Dermatologist,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Trissa%20Connors%2C%20MD%2C%20FAAD&query_place_id=ChIJtTllSGsjQYYRThLJaA3Bkgs,Dermatologist,,55
Wellness at the Spa,5.0,125,6529 W Plano Pkwy Ste B,Plano,Texas,US,https://wellnessatthespa.com/,(214) 489-7757,Medical spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Wellness%20at%20the%20Spa&query_place_id=ChIJTcCgo10hTIYR5Dt-0TCMZnI,Medical spa,,55
"Parsha Forouzan, MD",5.0,275,9955 Gillespie Dr Suite 100,Plano,Texas,US,https://www.brookseyemd.com/dr-parsha-forouzan-ophthalmologist/?utm_source=Google&utm_medium=GBP&utm_id=Provider,(972) 403-1110,Ophthalmologist,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Parsha%20Forouzan%2C%20MD&query_place_id=ChIJ-fLFuqM9TIYRQW9mZLOLN84,Ophthalmologist,,55
NeoWell,4.8,158,8200 Preston Rd Suite 100,Plano,Texas,US,https://neowell.com/,(972) 746-8887,Training center,Medical spa,Wellness center,,,,,,,,https://www.google.com/maps/search/?api=1&query=NeoWell&query_place_id=ChIJiVLhx_A9TIYRnO-kL5Rejag,Training center,,55
Original Skin,4.9,56,6101 Chapel Hill Blvd STE 201,Plano,Texas,US,https://originalskindfw.com/,(469) 809-2699,Medical spa,Skin care clinic,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Original%20Skin&query_place_id=ChIJ4SUAnCEjTIYRkia96qbIyvE,Medical spa,,55
"Sophia Rahman, MD- Primary Care, Weight Management & Aesthetics",4.6,109,1212 Coit Rd #105,Plano,Texas,US,https://www.sophiarahmanmd.com/,(972) 782-2811,Doctor,General practitioner,Hair replacement service,Health consultant,Internist,Medical Center,Medical clinic,Medical spa,Women's health clinic,Skin care clinic,https://www.google.com/maps/search/?api=1&query=Sophia%20Rahman%2C%20MD-%20Primary%20Care%2C%20Weight%20Management%20%26%20Aesthetics&query_place_id=ChIJ03RUVAwnTIYRgGLZqweKu1A,Doctor,,55
Skin Theory LLC,5.0,65,6833 Coit Rd # 102,Plano,Texas,US,http://skintheoryllc.com/,(469) 456-7548,Skin care clinic,Cosmetics store,Facial spa,,,,,,,,https://www.google.com/maps/search/?api=1&query=Skin%20Theory%20LLC&query_place_id=ChIJbdrfQ7UZTIYRuWskko-okTE,Skin care clinic,,55
RUMI Aesthetics,4.7,69,3465 National Dr Suite 105,Plano,Texas,US,http://www.rumiaesthetics.com/,(214) 894-4533,Medical spa,Facial spa,Medical clinic,Skin care clinic,Spa,Weight loss service,,,,,https://www.google.com/maps/search/?api=1&query=RUMI%20Aesthetics&query_place_id=ChIJCTOJVhA9TIYRQDScEjNxP-Y,Medical spa,,55
Women's Health Boutique,4.7,73,3115 W Parker Rd #270,Plano,Texas,US,http://www.mywhb.com/,(972) 985-4477,Medical supply store,Maternity store,Orthotics & prosthetics service,Wig shop,,,,,,,https://www.google.com/maps/search/?api=1&query=Women's%20Health%20Boutique&query_place_id=ChIJbaRuUoMiTIYRPU683t_rFhg,Medical supply store,,55
"Pooyan Rohani, M.D.",5.0,146,6000 Spring Creek Pkwy,Plano,Texas,US,http://rohanimd.com/,(972) 316-4555,Dermatologist,Surgeon,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Pooyan%20Rohani%2C%20M.D.&query_place_id=ChIJczyVz1YjTIYRzlhXDoxz6KI,Dermatologist,,55
WEIMEI MED SPA & ANTI-AGING CENTER,5.0,63,4666 McDermott Rd STE 200,Plano,Texas,US,https://weimeimedspa.com/,(469) 609-9800,Medical spa,Skin care clinic,Wellness center,,,,,,,,https://www.google.com/maps/search/?api=1&query=WEIMEI%20MED%20SPA%20%26%20ANTI-AGING%20CENTER&query_place_id=ChIJOYqb4tY9TIYRBtyDAucBHsg,Medical spa,,55
Down South Sugaring,5.0,161,3645 Dallas Pkwy suite 501,Plano,Texas,US,http://downsouthsugaring.com/,(972) 815-3418,Hair removal service,Waxing hair removal service,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Down%20South%20Sugaring&query_place_id=ChIJuXLimmAjTIYR1cMIeGacrEc,Hair removal service,,55
Belleza Colombiana,4.8,378,6101 Chapel Hill Blvd Suite 104,Plano,Texas,US,https://bellezacolombianaspa.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,(469) 316-4055,Lymph drainage therapist,Massage spa,Massage therapist,Medical spa,Weight loss service,Wellness center,,,,,https://www.google.com/maps/search/?api=1&query=Belleza%20Colombiana&query_place_id=ChIJY2_i7xIjTIYRxQPSaO7MPqM,Lymph drainage therapist,,55
Skin Pharm,5.0,180,5801 Headquarters Dr suite 920,Plano,Texas,US,https://skinpharm.com/pages/skincare-plano,(214) 548-3575,Skin care clinic,Health and beauty shop,Medical spa,,,,,,,,https://www.google.com/maps/search/?api=1&query=Skin%20Pharm&query_place_id=ChIJcZWVxaY9TIYRKSMDnriJuiI,Skin care clinic,,55
RX MD Solutions MedSpa,5.0,113,5040 Tennyson Pkwy Suite B,Plano,Texas,US,https://www.rxmdsolutions.com/,(972) 200-2019,Medical spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=RX%20MD%20Solutions%20MedSpa&query_place_id=ChIJF8QmPs0jTIYRqYXtRJHNhW8,Medical spa,,55
Innovative Dermatology: West Plano Medical Village,4.8,700,5655 W Spring Creek Pkwy Suite 105,Plano,Texas,US,http://www.innovative-dermatology.com/,(214) 919-3500,Dermatologist,Skin care clinic,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Innovative%20Dermatology%3A%20West%20Plano%20Medical%20Village&query_place_id=ChIJ_UnmgjcjTIYRNEMnwZzzLgQ,Dermatologist,,55
Skin Laundry - Plano,4.5,252,5700 Legacy Dr A2,Plano,Texas,US,https://www.skinlaundry.com/locations/plano,(972) 737-9058,Skin care clinic,Facial spa,Hair removal service,Laser hair removal service,Medical spa,,,,,,https://www.google.com/maps/search/?api=1&query=Skin%20Laundry%20-%20Plano&query_place_id=ChIJpRvTbcA9TIYRrUEIxU6ONJA,Skin care clinic,,55
Beauty Lab by Irina,4.9,72,3645 Dallas Pkwy suite 501 #113,Plano,Texas,US,https://beautylabbyirina.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,(786) 604-1991,Facial spa,Beauty salon,Eyebrow bar,Eyelash salon,Skin care clinic,Waxing hair removal service,,,,,https://www.google.com/maps/search/?api=1&query=Beauty%20Lab%20by%20Irina&query_place_id=ChIJI7_vTe0jTIYRpI_KHvqjAp8,Facial spa,,55
Evolve Dermatology,4.9,156,2000 Dallas Pkwy Suite 200,Plano,Texas,US,https://www.evolvederm.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Evolve-Dermatology-Plano&utm_content=website,(214) 550-4890,Dermatologist,Pediatric dermatologist,Skin care clinic,,,,,,,,https://www.google.com/maps/search/?api=1&query=Evolve%20Dermatology&query_place_id=ChIJFSbgyWojTIYR0sqPPMrRxh4,Dermatologist,,55
"Joseph R. Yaker, MD - YAKER Hair Restoration + Med Spa",4.6,141,"PARKER PRESTON OFFICE BUILDING, 3242 Preston Rd #160",Plano,Texas,US,https://www.yakermd.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,(972) 468-8301,Hair transplantation clinic,Medical spa,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Joseph%20R.%20Yaker%2C%20MD%20-%20YAKER%20Hair%20Restoration%20%2B%20Med%20Spa&query_place_id=ChIJh4oyKGgiTIYR01TjBFD0nK0,Hair transplantation clinic,,55
Plano Animal Clinic,4.8,94,3205 Alma Dr #415,Plano,Texas,US,http://www.planoanimalclinic.com/,(972) 422-5116,Veterinarian,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Plano%20Animal%20Clinic&query_place_id=ChIJgw6nvlAYTIYRseMlRZVNKf8,Veterinarian,,55
Sugaring NYC - Plano,4.9,246,4025 Preston Rd #606,Plano,Texas,US,https://www.sugaringnyc.com/locations/sugaringnyc-plano-texas/,(972) 378-6599,Waxing hair removal service,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sugaring%20NYC%20-%20Plano&query_place_id=ChIJY1I95CkjTIYRE6ciVCPZg8c,Waxing hair removal service,,55
Chase Oaks Animal Clinic,4.5,121,141 W Spring Creek Pkwy #415,Plano,Texas,US,https://chaseoaksvet.com/,(972) 517-1970,Animal hospital,Veterinarian,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Chase%20Oaks%20Animal%20Clinic&query_place_id=ChIJZ_Xt8ccZTIYRwFXnoAlqCes,Animal hospital,,55
InjectCo MedSpa Plano,4.9,80,"Inside of Phenix Suites of Willow Bend, 5964 W Parker Rd Suite 107",Plano,Texas,US,https://injectco.com/services/med-spa-plano-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp-plano,(972) 430-9297,Medical spa,Facial spa,Hair replacement service,Men's health physician,Women's health clinic,Skin care clinic,Weight loss service,Wellness center,,,https://www.google.com/maps/search/?api=1&query=InjectCo%20MedSpa%20Plano&query_place_id=ChIJr6p6KFQjTIYRu1N9Gw-6hO0,Medical spa,,55
VIVA Medspa,4.9,55,5880 Ashmill Dr Ste 250,Plano,Texas,US,https://www.vivamedspa.com/,(972) 378-3870,Medical spa,Facial spa,IV therapy service,Laser hair removal service,Skin care clinic,,,,,,https://www.google.com/maps/search/?api=1&query=VIVA%20Medspa&query_place_id=ChIJ8YRIDbA8TIYRc6FTJD8t5fo,Medical spa,,55
Glow On Beauty,5.0,51,1805 Preston Rd Rm 901,Plano,Texas,US,http://glow-on-beauty.com/,(469) 298-9446,Facial spa,Medical spa,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Glow%20On%20Beauty&query_place_id=ChIJCb98SLolTIYRK7r0udg2am4,Facial spa,,55
Skin LovER Aesthetics,5.0,72,4601 Old Shepard Pl STE 210,Plano,Texas,US,http://www.skinloverspa.com/,(469) 333-1401,Day spa,Medical spa,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Skin%20LovER%20Aesthetics&query_place_id=ChIJswSLCakjTIYRz_4qGuLGqec,Day spa,,55
Vybe Aesthetics,4.9,307,8608 Preston Rd Ste 100 Room #15,Plano,Texas,US,http://www.vybeaesthetics.com/,(214) 997-8575,Skin care clinic,Facial spa,Medical spa,,,,,,,,https://www.google.com/maps/search/?api=1&query=Vybe%20Aesthetics&query_place_id=ChIJEwYK3KE_TIYRmT_U0ejLi1Q,Skin care clinic,,55
Aoki Head Spa & Skin,5.0,539,6505 W Park Blvd Suite 105,Plano,Texas,US,https://aokispa.com/locations-plano/,(469) 409-6076,Day spa,Facial spa,Health spa,Skin care clinic,,,,,,,https://www.google.com/maps/search/?api=1&query=Aoki%20Head%20Spa%20%26%20Skin&query_place_id=ChIJp3rLoeYlTIYRIZ6iQhphz_c,Day spa,,55
ClubInject®,4.9,59,"Located Inside Sola Salon, 1900 Preston Rd #345, Studio #5",Plano,TX,US,http://www.clubinject.com/,(480) 576-2246,Medical spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=ClubInject%C2%AE&query_place_id=ChIJ2QA9bEMjTIYRVwMAQH4wFeE,Medical spa,,55
Noble Cosmetic Surgery,4.8,480,6201 K Ave Suite 100,Plano,Texas,US,https://www.noblecosmeticsurgery.com/?utm_source=GBP&utm_medium=organic&utm_campaign=GBP_Plano&utm_id=GBP_Plano,(214) 227-0668,Plastic surgeon,Cosmetic surgeon,Medical spa,Plastic surgery clinic,,,,,,,https://www.google.com/maps/search/?api=1&query=Noble%20Cosmetic%20Surgery&query_place_id=ChIJqbacwhMYTIYRtfVTodI3cfE,Plastic surgeon,,55
Spavia Day Spa - West Plano,4.8,934,2100 Dallas Pkwy #152,Plano,Texas,US,https://planotx.spaviadayspa.com/,(469) 304-9444,Spa,Day spa,Facial spa,Massage spa,,,,,,,https://www.google.com/maps/search/?api=1&query=Spavia%20Day%20Spa%20-%20West%20Plano&query_place_id=ChIJ27Yr9ngjTIYR8Er67n4CQk8,Spa,,55
Texas Eye and Aesthetic Center,5.0,84,3950 W Plano Pkwy,Plano,Texas,US,http://drsahmad.com/,(972) 519-9933,Medical clinic,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Texas%20Eye%20and%20Aesthetic%20Center&query_place_id=ChIJO_wzzRsjTIYRfblxxz2Qous,Medical clinic,,55
