"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Saint Bernard Headquarters","4.8","5","8700 Ambassador Row","Dallas","Texas","US","http://www.saintbernard.com/","(800) 461-4450","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Saint%20Bernard%20Headquarters&query_place_id=ChIJ76yFi3GcToYR8YlC3FeXWZY","Corporate office"
"Nations Best Holdings LLC","3","8","5151 Belt Line Rd","Dallas","Texas","US","https://nationsbest.net/contact/","(972) 829-3700","Holding company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nations%20Best%20Holdings%20LLC&query_place_id=ChIJq6oa4TshTIYRjQwUHe6GQb4","Holding company"
"Altitude Trampoline Park - Corporate Office","2.7","47","12222 Merit Dr # 1300","Dallas","Texas","US","http://www.altitudetrampolinepark.com/","(817) 207-7220","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Altitude%20Trampoline%20Park%20-%20Corporate%20Office&query_place_id=ChIJr1urNIDXTYYR6CY0QJKxKG8","Corporate office"
"La La Corporate Office","5","1","1020 E Levee St # 100","Dallas","Texas","US","https://lalalandkindcafe.com/?srsltid=AfmBOoo5PXLyQUWQAAM6UkXO2IbcNRZv6_Fp0elnlcklDDD-5vGpgkSt","","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20La%20Corporate%20Office&query_place_id=ChIJv7UhFgCZToYRGEh1bEvSj2s","Corporate office"
"Dal-Tile Corporation Corporate Headquarters","3.8","89","7834 C F Hawn Fwy","Dallas","Texas","US","https://www.daltile.com/","(214) 398-1411","Tile manufacturer","Warehouse",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dal-Tile%20Corporation%20Corporate%20Headquarters&query_place_id=ChIJUYGxtMu8ToYRxYZSYyZFFTw","Tile manufacturer"
"Sixty74",,,"4849 Greenville Ave","Dallas","Texas","US","https://sixty74.com/","","Holding company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sixty74&query_place_id=ChIJN42LnKSfToYRM6jCU81ZFqQ","Holding company"
"AT&T Headquarters","1.7","333","Whitacre Tower, 208 S Akard St","Dallas","Texas","US","https://investors.att.com/","(210) 821-4105","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AT%26T%20Headquarters&query_place_id=ChIJbZ9x4-yZToYRRXhjVWEufAw","Corporate office"
"la Madeleine Corporate Headquarters","2","58","12201 Merit Dr #900","Dallas","Texas","US","http://www.lamadeleine.com/","(214) 696-6962","Restaurant","Cafe","Caterer",,,,,,,,"https://www.google.com/maps/search/?api=1&query=la%20Madeleine%20Corporate%20Headquarters&query_place_id=ChIJOyN0oGsgTIYRP7dIs8DCgeg","Restaurant"
"Topgolf Corporate Office","3","101","8750 N Central Expy #1200","Dallas","Texas","US","http://topgolf.com/us/","(866) 867-4653","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Topgolf%20Corporate%20Office&query_place_id=ChIJbyWhhCqcaYgRZpq98pBXFj4","Corporate office"
"Greyhound Corporate Office","1.2","581","Patriot Tower, 350 North St. Paul Street #1300","Dallas","Texas","US","https://www.greyhound.com/en/help-and-info/contact-us","(800) 231-2222","Bus company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Greyhound%20Corporate%20Office&query_place_id=ChIJF_FNkCGZToYRjnkdC33eYEg","Bus company"
"HQ West 2nd Street",,,"115 West 2nd Street 1st, 2nd and 3rd Floors","Pueblo","CO","US","https://www.hq.com/en/united-states/10985?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall","(855) 400-3575","Office space rental agency","Business center","Coworking space","Virtual office rental",,,,,,,"https://www.google.com/maps/search/?api=1&query=HQ%20West%202nd%20Street&query_place_id=ChIJM-EeCwqjToYRDJ6CfaPsV2U","Office space rental agency"
"Campero USA Corp. Home Office","3.2","15","12404 Park Central Dr #250","Dallas","Texas","US","https://us.campero.com/","(972) 770-2800","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Campero%20USA%20Corp.%20Home%20Office&query_place_id=ChIJ_ZoPEmogTIYRfkXZkU9MQIM","Corporate office"
"Wolfe Investments","2.2","28","8350 N Central Expy 19th floor","Dallas","Texas","US","https://wolfe-investments.com/","(972) 599-0661","Investment company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wolfe%20Investments&query_place_id=ChIJAQDwW_UiTIYRaiJX3An40oY","Investment company"
"Dallas Mavericks","4.5","57","1333 N Stemmons Fwy #105","Dallas","Texas","US","http://mavs.com/?utm_source=Google&utm_medium=Places&utm_campaign=Places_pavilion","(214) 747-6287","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dallas%20Mavericks&query_place_id=ChIJIXKkC-iYToYRzqns8IcvjSc","Corporate office"
"Office of Disability Adjudication and Review","4","2","1301 Young St","Dallas","Texas","US","http://www.ssa.gov/appeals/ho_locator.html","(214) 767-9401","Federal government office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Office%20of%20Disability%20Adjudication%20and%20Review&query_place_id=ChIJtVF-bhmZToYR6j2zawWfUZQ","Federal government office"
"US Veterans Affairs Department","4.2","110","Freedom Garage, 4500 S Lancaster Rd","Dallas","Texas","US","http://www.va.gov/","(214) 742-8387","Veterans affairs department",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=US%20Veterans%20Affairs%20Department&query_place_id=ChIJoV7orp-XToYRdwYcklUmCQU","Veterans affairs department"
"Corporate Office - Texas de Brazil","2.4","57","2952 N Stemmons Fwy","Dallas","Texas","US","https://texasdebrazil.com/","(214) 615-2184","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Corporate%20Office%20-%20Texas%20de%20Brazil&query_place_id=ChIJhQb8FTWZToYRNEJPd__aODo","Corporate office"
"Hilton Corporate Office - Addison","3.3","84","15305 Dallas North Tollway","Addison","Texas","US","http://www.hilton.com/","(972) 383-1400","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hilton%20Corporate%20Office%20-%20Addison&query_place_id=ChIJU_Tp9zghTIYRJ3c8AYZDLkU","Corporate office"
"Mary Kay Global Headquarters","4.8","123","16251 Dallas Pkwy","Addison","Texas","US","http://www.marykay.com/","(800) 627-9529","Corporate office","Tanning salon",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mary%20Kay%20Global%20Headquarters&query_place_id=ChIJ9fKPde0wzYcR2v9m0pfzg-U","Corporate office"
"KIPP Texas DFW Regional Office","2.7","3","3833 Simpson Stuart Rd","Dallas","Texas","US","https://kipptexas.org/our-schools/dallas/","","Non-profit organization",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KIPP%20Texas%20DFW%20Regional%20Office&query_place_id=ChIJH9OgqIaRToYRm5iZj3pri18","Non-profit organization"
"TGI Friday's Support Center Headquarters","1.7","86","19111 Dallas Pkwy #165","Dallas","Texas","US","https://www.tgifridays.com/","(972) 662-5400","Corporate campus","American restaurant","Bar","Bar & grill","Chicken restaurant","Family restaurant","Hamburger restaurant","Lunch restaurant","Takeout Restaurant","Sports bar","https://www.google.com/maps/search/?api=1&query=TGI%20Friday's%20Support%20Center%20Headquarters&query_place_id=ChIJAfb41qcjTIYRQpOs7Uqbxks","Corporate campus"
"MidFirst Bank - Regional Office","2.3","3","1920 McKinney Ave Suite 900","Dallas","Texas","US","https://www.midfirst.com/?utm_source=Google&utm_medium=Yext","(214) 743-8200","Corporate office","Bank",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MidFirst%20Bank%20-%20Regional%20Office&query_place_id=ChIJszRcyQCZToYR5B4VNqF8BgM","Corporate office"
"Pilot Flying J Corporate Office","3.8","13","3102 Oak Lawn Ave Ste 410","Dallas","Texas","US","https://pilotcompany.com/","(877) 866-7378","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pilot%20Flying%20J%20Corporate%20Office&query_place_id=ChIJkdPiO82fToYRLApaVr5pStg","Corporate office"
"Lone Star Regional Service Office of Narcotics Anonymous","4.9","9","10420 Plano Rd #101","Dallas","Texas","US","https://lsrso.com/","(214) 570-1900","Regional government office","Store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lone%20Star%20Regional%20Service%20Office%20of%20Narcotics%20Anonymous&query_place_id=ChIJr8gHtYWgToYRTZLXX7cvGTI","Regional government office"
"Reece USA","4.4","10","15850 Dallas Pkwy","Dallas","Texas","US","http://www.reece.com/","(877) 709-2227","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Reece%20USA&query_place_id=ChIJfcDzDhRxToYRx8CI_XOXmM8","Corporate office"
"L'oreal Warehouse","3.3","107","3434 Altamoore Dr","Dallas","Texas","US","https://www.loreal.com/en/usa/","(212) 818-1500","Distribution service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=L'oreal%20Warehouse&query_place_id=ChIJ__kfAHKWToYRvCKSE4hBtsk","Distribution service"
"EPA Region 6","4.1","9","1201 Elm St","Dallas","Texas","US","https://www.epa.gov/aboutepa/epa-region-6-south-central","(800) 887-6063","Federal government office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EPA%20Region%206&query_place_id=ChIJndn8KCOZToYRD_WKcRlmj14","Federal government office"
"RJR Passports","4.2","45","RJR Passports, 5200 Keller Springs Rd APT 1432","Dallas","Texas","US","http://www.rjrpassports.com/","(800) 783-8472","Visa and passport office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RJR%20Passports&query_place_id=ChIJB7nc9SGZToYR1BkAZ1geRig","Visa and passport office"
"Southwest Region Conference","3.8","13","2550 Beckleymeade Ave Suite 135","Dallas","Texas","US","http://southwestregionsda.org/","(214) 943-4491","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Southwest%20Region%20Conference&query_place_id=ChIJI7be9hiZToYR0g3dfXnX_ok","Corporate office"
"Quality Custom Distribution (QCD)","3.7","96","3900 N Dallas Ave","Lancaster","Texas","US","https://www.qualitycustomdistribution.com/","(469) 718-1554","Food products supplier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Quality%20Custom%20Distribution%20(QCD)&query_place_id=ChIJiUYaXXKWToYRab4VDZDnewA","Food products supplier"
"Tenet Healthcare Corporation","3.4","44","14201 Dallas Pkwy","Dallas","Texas","US","https://www.tenethealth.com/?utm_campaign=gmb_listings_mgmt&utm_source=gmb-tenethealth&utm_medium=google-local","(469) 893-2000","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tenet%20Healthcare%20Corporation&query_place_id=ChIJyyClKiOZToYRpjJOg2l_w_Q","Corporate office"
"Social Security Administration","3.3","689","10824 N Central Expy","Dallas","Texas","US","https://www.ssa.gov/","(866) 572-2492","Government office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Social%20Security%20Administration&query_place_id=ChIJZfrF0-GfToYRr_-Cp_YpAsk","Government office"
"Speed Commerce - Old Corp HQ","2.7","6","10300 Sanden Dr Suite 100","Garland","Texas","US","http://www.speedcommerce.com/","(866) 377-3331","Manufacturer","Warehouse",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Speed%20Commerce%20-%20Old%20Corp%20HQ&query_place_id=ChIJeQaMeJCgToYRySs_Fg_Tz5Q","Manufacturer"
"CMB Regional Centers Dallas","5","1","5910 N Central Expy #1000","Dallas","Texas","US","https://www.cmbeb5visa.com/","(309) 797-1550","Visa consulting service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CMB%20Regional%20Centers%20Dallas&query_place_id=ChIJ_XMgXlifToYRsY9z5v0Gv4c","Visa consulting service"
"HQ Painting & Remodeling","5","25",,,,,"http://hqpainting.org/","(469) 818-0022","Painter","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HQ%20Painting%20%26%20Remodeling&query_place_id=ChIJJbUl_PArim8RptjD1Dbdk1E","Painter"
"KEHE Dallas","3.3","326","4450 Logistics Dr","Dallas","Texas","US","https://www.kehe.com/news-blog/news/kehe-distributors-opens-largest-distribution-center-in-dallas-texas/","(855) 938-1462","Warehouse",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KEHE%20Dallas&query_place_id=ChIJ2xm9pV2_ToYR01Ir2uZwHAY","Warehouse"
"Seagoville High School",,,"15920 Seagoville Rd","Dallas","Texas","US","https://seagovillehigh.dallasisd.org/","(972) 892-5900","General education school","Public educational institution",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Seagoville%20High%20School&query_place_id=ChIJW-m5yX-6ToYR_TXQmnipD-o","General education school"
"Bell Partners Inc. - Dallas Regional Office","1.4","96","13455 Noel Rd #2100","Dallas","Texas","US","https://www.bellpartnersinc.com/","(336) 387-5431","District office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bell%20Partners%20Inc.%20-%20Dallas%20Regional%20Office&query_place_id=ChIJbSW0tokhTIYRJ0SeUc8lCHc","District office"
"The Hanover Insurance Group Regional Office","1.8","5","8750 N Central Expy Suite 777","Dallas","Texas","US","http://www.hanover.com/","(214) 615-1510","Insurance company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Hanover%20Insurance%20Group%20Regional%20Office&query_place_id=ChIJ2RHOlxGfToYR2hLObK93IgI","Insurance company"
