"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"The Aesthetic Touch by Raya","5","43","2865 McDermott Rd # 225","Plano","Texas","US","https://www.aesthetictouchbyraya.com/","(949) 323-1639","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Aesthetic%20Touch%20by%20Raya&query_place_id=ChIJtbEu2J0XTIYRx6WAxNDa0-w","Medical spa"
"U.S. Dermatology Partners Richardson","4.8","1075","3600 Shire Blvd #210","Richardson","Texas","US","https://www.usdermatologypartners.com/locations/texas/richardson/3600-shire-blvd-ste-210/","(469) 326-3376","Dermatologist","Medical group","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=U.S.%20Dermatology%20Partners%20Richardson&query_place_id=ChIJ6yUcQrLZTYYRzLUqG_WK0aI","Dermatologist"
"Shahina Hoja Aesthetics (Medspa & Acne Clinic)","4.9","213","2865 McDermott Rd # 225","Plano","Texas","US","http://www.shahinahoja.com/","(469) 823-0402","Medical spa","Facial spa","Health spa","Laser hair removal service","Skin care clinic",,,,,,"https://www.google.com/maps/search/?api=1&query=Shahina%20Hoja%20Aesthetics%20(Medspa%20%26%20Acne%20Clinic)&query_place_id=ChIJmUyvIXtFwokRhPdD_zsK5ow","Medical spa"
"NG Beauty Studio Inc.","4.4","68","2949 W 15th St","Plano","Texas","US","http://www.ngbeauties.com/","(945) 201-0046","Beauty salon","Medical spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=NG%20Beauty%20Studio%20Inc.&query_place_id=ChIJqykMt48fTIYRvF4btcdxPn4","Beauty salon"
"Britestar Primary Care and Weight Loss Clinic","5","107","6100 K Ave Ste 108","Plano","Texas","US","https://britestarclinic.com/","(469) 910-8283","Medical clinic","HIV testing center","Reproductive health clinic","Skin care clinic","STD clinic","STD testing service","Weight loss service",,,,"https://www.google.com/maps/search/?api=1&query=Britestar%20Primary%20Care%20and%20Weight%20Loss%20Clinic&query_place_id=ChIJxUR0edsZTIYRCLmbWUSPfn8","Medical clinic"
"Secret skin by nuha","5","15","2901 N Central Expy #125","Plano","Texas","US","https://www.instagram.com/secret_skin25?igsh=cGljcGFjZmNpcmdy&utm_source=qr","(469) 975-5377","Esthetics service","Laser hair removal service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Secret%20skin%20by%20nuha&query_place_id=ChIJZz0KFuEZTIYR79LVVDU72f4","Esthetics service"
"Bodifyed Sculpt Spa","5","13","4909 W Park Blvd Bldg Suite 157, Suite 1","Plano","Texas","US","https://www.bodifyed.com/","(972) 379-9146","Weight loss service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bodifyed%20Sculpt%20Spa&query_place_id=ChIJFeq90EDZtiER9eJqWEXMf-k","Weight loss service"
"Glow On Beauty","5","51","1805 Preston Rd Rm 901","Plano","Texas","US","http://glow-on-beauty.com/","(469) 298-9446","Facial spa","Medical spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Glow%20On%20Beauty&query_place_id=ChIJCb98SLolTIYRK7r0udg2am4","Facial spa"
"American Institute For Plastic Surgery","4.5","96","6020 W Plano Pkwy","Plano","Texas","US","http://www.ai4ps.com/","(972) 543-2477","Plastic surgeon",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=American%20Institute%20For%20Plastic%20Surgery&query_place_id=ChIJ87k4kmUiTIYRGDYvuBl1LX0","Plastic surgeon"
"Red Mountain Weight Loss","4.3","77","5930 W Park Blvd #100","Plano","Texas","US","https://www.redmountainweightloss.com/areas-served/plano-tx/","(214) 960-5245","Weight loss service","Medical spa","Men's health physician",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Red%20Mountain%20Weight%20Loss&query_place_id=ChIJWR7j3IAjTIYRQtdtuztgyt8","Weight loss service"
"North Texas Plastic Surgery","4.9","816","5412 W Plano Pkwy #101","Plano","Texas","US","https://www.northtexasplasticsurgery.com/plano-plastic-surgery/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Plano&utm_id=GBP_Plano","(214) 272-8533","Plastic surgeon","Cosmetic surgeon","Medical spa","Plastic surgery clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=North%20Texas%20Plastic%20Surgery&query_place_id=ChIJ-12zoZAjTIYRD9fKrEoO1_A","Plastic surgeon"
"Roberts Cosmetic Surgery","4.8","193","5144 Village Creek Dr","Plano","Texas","US","https://www.robertscosmeticsurgery.com/","(972) 608-0000","Plastic surgeon","Medical spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Roberts%20Cosmetic%20Surgery&query_place_id=ChIJOYebnWMjTIYRVYV5_ShkdHA","Plastic surgeon"
"Texas Eye and Aesthetic Center","5","84","3950 W Plano Pkwy","Plano","Texas","US","http://drsahmad.com/","(972) 519-9933","Medical clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Texas%20Eye%20and%20Aesthetic%20Center&query_place_id=ChIJO_wzzRsjTIYRfblxxz2Qous","Medical clinic"
"Willowbend Health & Wellness","4.6","11","4601 Old Shepard Pl bldg 2 ste 201","Plano","Texas","US","https://willowbendhealthandwellness.com/","(469) 361-4000","Wellness center","Holistic medicine practitioner","Medical office","Weight loss service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Willowbend%20Health%20%26%20Wellness&query_place_id=ChIJzToHxVMiTIYRB5JalaTQRMo","Wellness center"
"Spavia Day Spa - West Plano","4.8","934","2100 Dallas Pkwy #152","Plano","Texas","US","https://planotx.spaviadayspa.com/","(469) 304-9444","Spa","Day spa","Facial spa","Massage spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Spavia%20Day%20Spa%20-%20West%20Plano&query_place_id=ChIJ27Yr9ngjTIYR8Er67n4CQk8","Spa"
"Rize up medical","5","1","6275 W Plano Pkwy Suite 500","Plano","Texas","US","https://www.rizeupmedical.com/","(469) 269-0844","Medical supply store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rize%20up%20medical&query_place_id=ChIJefcjO68jTIYRzKcApWESdXU","Medical supply store"
"Noble Cosmetic Surgery","4.8","480","6201 K Ave Suite 100","Plano","Texas","US","https://www.noblecosmeticsurgery.com/?utm_source=GBP&utm_medium=organic&utm_campaign=GBP_Plano&utm_id=GBP_Plano","(214) 227-0668","Plastic surgeon","Cosmetic surgeon","Medical spa","Plastic surgery clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Noble%20Cosmetic%20Surgery&query_place_id=ChIJqbacwhMYTIYRtfVTodI3cfE","Plastic surgeon"
"Keha Couture Beauty","5","3","1025 Preston Rd","Plano","Texas","US","http://www.kcb.glossgenius.com/","(682) 358-8067","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Keha%20Couture%20Beauty&query_place_id=ChIJsRBtqrcjTIYRrjsgUqpstX8","Medical spa"
"Positive Indulgence Spa","5","14","1209 E 15th St","Plano","Texas","US","http://www.positiveindulgence.com/","(214) 202-8252","Spa","Facial spa","Massage therapist","Skin care clinic","Waxing hair removal service",,,,,,"https://www.google.com/maps/search/?api=1&query=Positive%20Indulgence%20Spa&query_place_id=ChIJEyd3WR0ZTIYRzzXOqjgW-SE","Spa"
"ClubInject®","4.9","59","Located Inside Sola Salon, 1900 Preston Rd #345, Studio #5","Plano","TX","US","http://www.clubinject.com/","(480) 576-2246","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ClubInject%C2%AE&query_place_id=ChIJ2QA9bEMjTIYRVwMAQH4wFeE","Medical spa"
"Family Health and Wellness of Plano","4.4","57","5148 Village Creek Dr Suite 300","Plano","Texas","US","https://www.familyhealthwellnessplanotx.com/","(469) 661-1100","Wellness center","Chiropractor","Doctor","General practitioner","Holistic medicine practitioner","Medical spa","Nutritionist","Pain management physician","Physical therapist","Weight loss service","https://www.google.com/maps/search/?api=1&query=Family%20Health%20and%20Wellness%20of%20Plano&query_place_id=ChIJ60yZt7EjTIYRFI5epDaZKXs","Wellness center"
"The Skin Studio","5","13","Inside Mattison Avenue Salon Suites, 1921 Preston Rd Suites 116-117","Plano","Texas","US","https://www.theskinstudioonline.com/index.html","(713) 303-6558","Facial spa","Day spa","Skin care clinic","Spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Skin%20Studio&query_place_id=ChIJ0c1kiN2c5BQRGVHIP_6CP3I","Facial spa"
"Aoki Head Spa & Skin","5","539","6505 W Park Blvd Suite 105","Plano","Texas","US","https://aokispa.com/locations-plano/","(469) 409-6076","Day spa","Facial spa","Health spa","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Aoki%20Head%20Spa%20%26%20Skin&query_place_id=ChIJp3rLoeYlTIYRIZ6iQhphz_c","Day spa"
"Highland Park Aesthetics Plano","5","20","1921 Preston Rd 2066 Suite 130","Plano","Texas","US","https://highlandpark.clinic/","(214) 774-9644","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Highland%20Park%20Aesthetics%20Plano&query_place_id=ChIJ1wP77PIjTIYR4ns-c_wcDfQ","Medical spa"
"Vybe Aesthetics","4.9","307","8608 Preston Rd Ste 100 Room #15","Plano","Texas","US","http://www.vybeaesthetics.com/","(214) 997-8575","Skin care clinic","Facial spa","Medical spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vybe%20Aesthetics&query_place_id=ChIJEwYK3KE_TIYRmT_U0ejLi1Q","Skin care clinic"
"Skin LovER Aesthetics","5","72","4601 Old Shepard Pl STE 210","Plano","Texas","US","http://www.skinloverspa.com/","(469) 333-1401","Day spa","Medical spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20LovER%20Aesthetics&query_place_id=ChIJswSLCakjTIYRz_4qGuLGqec","Day spa"
"Spectra Salon Suites","4.3","15","1805 Preston Rd","Plano","Texas","US","https://www.spectrasalonsuites.com/locations/plano","(972) 835-1527","Beauty salon",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spectra%20Salon%20Suites&query_place_id=ChIJA52lgf4jTIYR4jmRaqgmKOA","Beauty salon"
"Luxino Permanent MakeUp","4.9","39","4909 W Park Blvd 157, STE 18","Plano","Texas","US","https://www.luxinopmu.com/","(469) 698-6122","Permanent make-up clinic","Local medical services","Medical clinic","Medical spa","Physician referral service","Tattoo artist","Tattoo shop",,,,"https://www.google.com/maps/search/?api=1&query=Luxino%20Permanent%20MakeUp&query_place_id=ChIJ-_qecLBp6oARRLUjxhi4idk","Permanent make-up clinic"
"Liquid Wellness & IV: Dallas Metro Clinic & Mobile (We Come to You)","5","194","Inside of Cowboys Fit, 4817 W Park Blvd","Plano","Texas","US","https://www.liquidwellnessiv.com/","(855) 954-7843","Wellness center","Health counselor","Health spa","Home health care service","Medical clinic","Medical spa","Nurse practitioner","Vitamin & supplements store",,,"https://www.google.com/maps/search/?api=1&query=Liquid%20Wellness%20%26%20IV%3A%20Dallas%20Metro%20Clinic%20%26%20Mobile%20(We%20Come%20to%20You)&query_place_id=ChIJsZW6fQcjTIYR808ccvzsW30","Wellness center"
"Spa Zone by Paris","5","46","Spectra Salon Suites, 1805 Preston Rd Suite #403","Plano","Texas","US","https://www.spazonebyparis.com/","(214) 718-8159","Beauty salon","Aromatherapy service","Day spa","Facial spa","Massage spa","Spa",,,,,"https://www.google.com/maps/search/?api=1&query=Spa%20Zone%20by%20Paris&query_place_id=ChIJf7q8IAA9TIYRplMGj-vdz44","Beauty salon"
"Optim8 Health and Wellness","4.7","63","2301 Ohio Dr # 115","Plano","Texas","US","https://optim8healthandwellness.com/","(972) 942-4039","Wellness center","Holistic medicine practitioner","Medical spa","Naturopathic practitioner","Nurse practitioner","Nutritionist","Women's health clinic","Skin care clinic","Vitamin & supplements store","Weight loss service","https://www.google.com/maps/search/?api=1&query=Optim8%20Health%20and%20Wellness&query_place_id=ChIJq6qO_-cXTIYRDfjw1Ds0o5o","Wellness center"
"The Spa Butler","4.9","57","5055 W Park Blvd #400","Plano","Texas","US","http://www.thespabutler.com/","(214) 785-6719","Wholesaler",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Spa%20Butler&query_place_id=ChIJPYbbpEGoKKgRki5UJYwUMqs","Wholesaler"
"The Aesthetic Consultants","4.3","6","1304 Village Creek Dr #300","Plano","Texas","US","https://theaestheticconsultants.com/","(972) 750-0376","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Aesthetic%20Consultants&query_place_id=ChIJGxCmsJ89TIYR57rl5LVPzjA","Medical spa"
"SculptedMD Plano","5","6","1201 E Spring Creek Pkwy","Plano","Texas","US","https://www.sculptedmd.com/texas/plano/","(469) 631-6056","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SculptedMD%20Plano&query_place_id=ChIJNS2KuWoZTIYRsfuAp8UPI2E","Medical spa"
"NovaDerm Med Spa","5","81","4909 W Park Blvd Suite 157, Room 14","Plano","Texas","US","https://novadermllc.com/","(972) 654-2414","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=NovaDerm%20Med%20Spa&query_place_id=ChIJ6UzFZt45TIYRe-QGKHriGqA","Medical spa"
"Emerald Laser Spa","5","2","4909 W Park Blvd Suite 157","Plano","Texas","US","https://emeraldlaserspa.co/","(214) 215-6588","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Emerald%20Laser%20Spa&query_place_id=ChIJjd6WN6kjTIYRsOnDEUyGBCo","Medical spa"
"VIO Med Spa Plano","4.9","34","2412 Preston Rd #160","Plano","Texas","US","https://www.viomedspa.com/locations/plano","(945) 284-0815","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VIO%20Med%20Spa%20Plano&query_place_id=ChIJx48nyKkjTIYR75m7SPdfjus","Medical spa"
"effective skin solutions","5","3","6660 Conecuh Dr","Plano","Texas","US","https://www.styleseat.com/m/v/EffectiveSkinSolutions","(214) 236-7369","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=effective%20skin%20solutions&query_place_id=ChIJyZjWD_EZTIYRO0oUzjrVe9s","Skin care clinic"
"Princess Med Spa","4.9","120","1312 Village Creek Dr STE 800","Plano","Texas","US","https://princess-medspa.com/","(214) 468-4829","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Princess%20Med%20Spa&query_place_id=ChIJ__8vCLEjTIYR5iIUmzBxEFY","Medical spa"
"VIP Total Health & Hydration","4.8","45","4708 W Plano Pkwy STE 300","Plano","Texas","US","https://viptotalhealth.com/plano","(214) 240-9243","Wellness center","Medical spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VIP%20Total%20Health%20%26%20Hydration&query_place_id=ChIJQSfWv7cjTIYRDrrDrVXYUv0","Wellness center"
"SkinSpirit Plano","4.9","292","2401 Preston Rd Suite F","Plano","Texas","US","https://www.skinspirit.com/locations/plano/","(469) 829-4200","Medical spa","Facial spa","Laser hair removal service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=SkinSpirit%20Plano&query_place_id=ChIJXd2s2mQjTIYRWdllNxfckVg","Medical spa"
"LED Skin Care Center","4.8","35","4909 W Park Blvd #37","Plano","Texas","US","https://ledskincarespa.com/","(972) 378-0291","Skin care clinic","Alternative medicine practitioner","Health spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=LED%20Skin%20Care%20Center&query_place_id=ChIJDbPzk2AjTIYRDOqCH1JXX9g","Skin care clinic"
"Eternaderm Advanced Medical Aesthetics","4.8","43","4601 Old Shepard Pl STE 402","Plano","Texas","US","https://www.eternaderm.com/","(469) 927-7046","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eternaderm%20Advanced%20Medical%20Aesthetics&query_place_id=ChIJfQly1GsjTIYR7C7fZfM2qk0","Medical spa"
"Transformations with Dr. Y","5","14","1921 Preston Rd #2066","Plano","Texas","US","https://www.transformationswithdry.com/","(214) 272-9899","Medical clinic","Career guidance service","Counselor","Doctor","Health counselor","Life coach","Medical spa","Mental health service","Physical therapist","Weight loss service","https://www.google.com/maps/search/?api=1&query=Transformations%20with%20Dr.%20Y&query_place_id=ChIJ6YcC8Hh-2mcRyNTZ6A6brgA","Medical clinic"
"MD Laser Med Spa","4.9","94","3001 Dallas Pkwy Suite 260 Floor2","Plano","Texas","US","http://www.mdlasermed.com/","(469) 445-1171","Medical spa","Beauty salon",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MD%20Laser%20Med%20Spa&query_place_id=ChIJF_p5z8gjTIYRUN5lVGd_LK8","Medical spa"
"Silk Skin Laser Center","4.4","35","4909 W Park Blvd Ste 157, Room 40","Plano","Texas","US","http://www.silkskinlasercenter.net/","(214) 675-8561","Laser hair removal service","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Silk%20Skin%20Laser%20Center&query_place_id=ChIJiZ2vMlUiTIYRo4mBblc7pEc","Laser hair removal service"
"Plano Aesthetics","4.7","15","6213 Chapel Hill Blvd A","Plano","Texas","US","https://beyondbeautifultexas.com/dr-jeffrey-caruth","(972) 608-0990","Surgical center",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plano%20Aesthetics&query_place_id=ChIJYyadMZwkTIYRpJVcBOeheHg","Surgical center"
"Semper Laser","4.5","198","1900 Preston Rd Suite 281","Plano","Texas","US","https://www.semperlaser.com/location/west-plano-laser-hair-removal","(469) 960-5851","Laser hair removal service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Semper%20Laser&query_place_id=ChIJTVQobigjTIYRH6QcUi0Bf_Q","Laser hair removal service"
"Depil Brazil Waxing Studio","4.7","775","2108 Dallas Pkwy #224","Plano","Texas","US","https://depilbrazilwaxing.com/","(972) 408-0101","Waxing hair removal service","Hair removal service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Depil%20Brazil%20Waxing%20Studio&query_place_id=ChIJiT-8uHgjTIYRzddLKT_YrxI","Waxing hair removal service"
"Mod Facial and Massage","4.8","137","1601 Preston Rd Suite N","Plano","Texas","US","https://www.modfacial.com/","(469) 991-3896","Day spa","Facial spa","Massage spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mod%20Facial%20and%20Massage&query_place_id=ChIJv5kzsqUjTIYR4QKgT4Brr5A","Day spa"
"Skin Study Med Spa","5","41","6505 W Park Blvd Building 160, suite #113","Plano","Texas","US","https://www.skinstudymedspa.com/","(469) 422-5534","Medical spa","Facial spa","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Study%20Med%20Spa&query_place_id=ChIJb0pJGnil4EoR0gaKcy60x0E","Medical spa"
"Aesthetic Dentistry Centre Plano: Implant & Cosmetic Specialists","4.8","116","1200 Village Creek Dr #102","Plano","Texas","US","https://www.adcplano.com/?utm_source=GMBlisting&utm_medium=organic","(972) 931-0090","Dentist","Cosmetic dentist","Dental implants periodontist","Denture care center","Periodontist","Teeth whitening service",,,,,"https://www.google.com/maps/search/?api=1&query=Aesthetic%20Dentistry%20Centre%20Plano%3A%20Implant%20%26%20Cosmetic%20Specialists&query_place_id=ChIJ0fdvsrEjTIYRoDKtNk0HIHU","Dentist"
"H&M Aesthetics, LLC","5","50","2401 Preston Rd","Plano","Texas","US","http://hminject.com/","(214) 556-2034","Beauty school",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=H%26M%20Aesthetics%2C%20LLC&query_place_id=ChIJ98HTS_4jTIYRetyUO1PtQ8k","Beauty school"
"Celine Medical Spa","5","18","5168 Village Creek Dr Suite 300","Plano","Texas","US","https://www.celinemedicalspa.com/","(972) 750-6100","Medical spa","Facial spa","Laser hair removal service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Celine%20Medical%20Spa&query_place_id=ChIJKwWHwPgjTIYRtx5P4us_Ix0","Medical spa"
"Vitalize Medical Spa","4.8","94","2633 Dallas Pkwy #201","Plano","Texas","US","http://www.vitalizemedicalspa.com/","(972) 473-4999","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vitalize%20Medical%20Spa&query_place_id=ChIJV6fj63wjTIYR--m2GJOnfrw","Medical spa"
"Starwood Med Spa","4.9","156","8404 Preston Rd #208","Plano","Texas","US","https://starwoodmedspa.com/starwood-plano-med-spa/","(214) 705-0400","Medical spa","Health and beauty shop","Health consultant","Laser hair removal service","Skin care clinic","Tattoo removal service","Weight loss service",,,,"https://www.google.com/maps/search/?api=1&query=Starwood%20Med%20Spa&query_place_id=ChIJWx6gFj09TIYR9tExGmtztDI","Medical spa"
"Ultimate Image MedSpa","4.9","622","4674 McDermott Rd #309","Plano","Texas","US","https://ultimateimagemedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","(972) 800-2127","Medical spa","Beauty salon","Laser hair removal service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Ultimate%20Image%20MedSpa&query_place_id=ChIJPz2DTd48TIYRqu_hNAxeGEc","Medical spa"
"Rox Skin Studio, LLC","5","6","8308 Preston Rd 200 Room 210","Plano","Texas","US","http://roxskinstudio.com/","(469) 500-9515","Skin care clinic","Facial spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rox%20Skin%20Studio%2C%20LLC&query_place_id=ChIJO-A-VKojTIYR4P0AI1vDApc","Skin care clinic"
"INJEXED MedBar","5","172","5200 McDermott Rd #215","Plano","Texas","US","https://injexed.com/","(469) 649-7106","Spa","Dermatologist","Facial spa","Medical spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=INJEXED%20MedBar&query_place_id=ChIJIacT9VI9TIYRlAXx0uxlQn8","Spa"
"Texas Skin Surgery Center","4.9","33","3585 National Dr Suite #150","Plano","Texas","US","http://www.txskinsurgery.com/","(469) 467-6647","Surgical center",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Texas%20Skin%20Surgery%20Center&query_place_id=ChIJdXASzkwiTIYRgJeA8eUEVz4","Surgical center"
"Skin Resq","5","3","2801 W Parker Rd #6","Plano","Texas","US","https://skinresq.me/","(469) 995-4552","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Resq&query_place_id=ChIJS51AHq4jTIYR6p-7aJv6sFo","Skin care clinic"
"The Source of Hope","5","14","1108 W Parker Rd Ste 102","Plano","Texas","US","https://www.thesourceofhope.org/","(469) 969-0244","Non-profit organization","Beauty salon","Hair salon","Soup kitchen","Wellness center",,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Source%20of%20Hope&query_place_id=ChIJa3vEC1oYTIYR8VRL0jVb0m4","Non-profit organization"
"Sheri Salon","4.9","224","909 W Spring Creek Pkwy #411","Plano","Texas","US","https://sherisalontx.com/","(214) 694-6407","Beauty salon",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sheri%20Salon&query_place_id=ChIJf2zefUQZTIYRmVQ1375D_wQ","Beauty salon"
"Skin Sanctuary Studio","5","35","8308 Preston Rd Suite 246","Plano","Texas","US","https://planoskintreatments.com/","(972) 905-3758","Spa","Skin care clinic","Waxing hair removal service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Sanctuary%20Studio&query_place_id=ChIJyR3YAtU9TIYR-_GWApRVB30","Spa"
"ReClaim Health with Laura Precourt, D.C.","5","10","2237 W Parker Rd F","Plano","Texas","US","https://www.vagaro.com/reclaimhealthplano","(469) 512-8671","Chiropractor","Holistic medicine practitioner","Naturopathic practitioner",,,,,,,,"https://www.google.com/maps/search/?api=1&query=ReClaim%20Health%20with%20Laura%20Precourt%2C%20D.C.&query_place_id=ChIJiREKEWUYTIYRUxzQWxZYJbQ","Chiropractor"
