email;company_name;totalScore;reviewsCount;street;city;state;country;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;google_maps_url;categoryName;lead_score
;Workshop Coworking;4.5;85.0;Peatonal Única 147 y Cedros, Cedros 305 y;Guayaquil;;EC;http://www.workshopcoworking.com/;+593 99 603 8911;Espacio de coworking;Palacio de congresos;Servicio de tecnología de eventos;Salón para eventos;Servicio de marketing por Internet;Consultora de marketing;Media consultant;Agencia de alquiler de espacios para oficinas;https://www.google.com/maps/search/?api=1&query=Workshop%20Coworking&query_place_id=ChIJ_UD4DO5tLZARWO-9i_dzK9o;Espacio de coworking;75
;YOUHOME TORRES Bellini III - IV;5.0;1.0;EcuSuites Torres Bellini https://g.co/kgs/pnYW44U;Guayaquil;;EC;https://tiktok.com/@youhome_ec;+593 96 811 8727;Agencia de alquiler de apartamentos;;;;;;;;https://www.google.com/maps/search/?api=1&query=YOUHOME%20TORRES%20Bellini%20III%20-%20IV&query_place_id=ChIJbdJgduZtLZARgdOZc5D3MJ0;Agencia de alquiler de apartamentos;75
;BIENES RAICES MANFUSAQUI;;;R4CF+V4V, Numa Pompilio Llona;Guayaquil;;EC;https://spazio907.negocio.site/?utm_source=gmb&utm_medium=referral;+593 97 890 0883;Agencia de alquiler de apartamentos;;;;;;;;https://www.google.com/maps/search/?api=1&query=BIENES%20RAICES%20MANFUSAQUI&query_place_id=ChIJjYocucJtLZARk4Snkg9XP-I;Agencia de alquiler de apartamentos;75
;Urbanización Porto Alegre;4.4;121.0;Vía a la Costa Km 13;Guayaquil;;EC;https://portoalegre.com.ec/;+593 4-220-7218;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20Porto%20Alegre&query_place_id=ChIJEwVcJv9zLZARwScOtlnVsGI;Urbanización;75
;Villas del Bosque;4.5;353.0;Vía a la Costa;Guayaquil;;EC;http://villasdelbosque.espaciosurbanos.ec/;+593 4-371-1944;Urbanización privada;;;;;;;;https://www.google.com/maps/search/?api=1&query=Villas%20del%20Bosque&query_place_id=ChIJ2bebF292LZARYrW7EMYZK0I;Urbanización privada;75
;ACBIR;4.4;21.0;Edificio Empresarial 3, Parque Empresarial Colón, piso Mezzanine oficina 010;Guayaquil;;EC;http://www.acbir.com.ec/;+593 4-462-1527;Promotora inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=ACBIR&query_place_id=ChIJJaEFLi1sLZAR0w667-D-LEA;Promotora inmobiliaria;75
;Urbana Propiedades S.A.;5.0;14.0;R4W6+522, 3º Cj. 14 NE;Guayaquil;;EC;http://urbapropiedades.com/;+593 98 969 6631;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Urbana%20Propiedades%20S.A.&query_place_id=ChIJkT2PvU5tLZARArq6nIg_0t4;Agencia de bienes inmuebles comerciales;75
;R&E Bienes Raices;;;Av. José María Egas 15;Guayaquil;;EC;https://re-bienes-raices-45391682.hubspotpagebuilder.com/es/;+593 99 716 2551;Consultor inmobiliario;;;;;;;;https://www.google.com/maps/search/?api=1&query=R%26E%20Bienes%20Raices&query_place_id=ChIJw7x_AhptLZARKDUyyRBElQo;Consultor inmobiliario;75
;NARCISA CLUB;4.6;38.0;Av. Narcisa de Jesús 090703;Guayaquil;;EC;http://www.narcisaclub.com/;+593 93 907 2931;Condominio;Promotora inmobiliaria;;;;;;;https://www.google.com/maps/search/?api=1&query=NARCISA%20CLUB&query_place_id=ChIJfbUchMYTLZARR8u_cmXJb94;Condominio;75
;Garzota Suites & Dormitorios;4.5;6.0;Garzota MZ. 48 Villa 16 Al frente del parque de la Garzota A lado del C.C. Garzocentro 2000;Guayaquil;;EC;https://www.facebook.com/Garzota-Suites-Dormitorios-109451351571072/;+593 99 365 8258;Agencia de alquiler de apartamentos;;;;;;;;https://www.google.com/maps/search/?api=1&query=Garzota%20Suites%20%26%20Dormitorios&query_place_id=ChIJGVbbcTttLZARU9jnKECtAxU;Agencia de alquiler de apartamentos;75
;Paseo Tablado Zona Franca - Guayaquil;;;vía Daule Km 22.5;Guayaquil;;EC;https://www.paseotablado.com/;+593 99 368 1749;Parque empresarial;Asesor en comercio internacional;;;;;;;https://www.google.com/maps/search/?api=1&query=Paseo%20Tablado%20Zona%20Franca%20-%20Guayaquil&query_place_id=ChIJvR3t5TA87YARjripY-nplNk;Parque empresarial;75
;Alberto Inmobiliaria;;;V396+JPP, Florida Nte.;Guayaquil;;EC;https://jmvelez5.wixsite.com/my-site;+593 98 469 8976;Agentes inmobiliarios;;;;;;;;https://www.google.com/maps/search/?api=1&query=Alberto%20Inmobiliaria&query_place_id=ChIJO9w38iBzLZAR5aKpsoMmIVA;Agentes inmobiliarios;75
;Brinter 360;4.6;9.0;Edificio Sky Building Piso 7, Oficina 719;Guayaquil;;EC;https://brinter360.com/;+593 4-390-7281;Agencia inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=Brinter%20360&query_place_id=ChIJIXPl3EdtLZARoAIOGz9fDXs;Agencia inmobiliaria;75
;Chrystel Castro Asesor Inmobiliario BRinter 360;5.0;5.0;593;Guayaquil;;EC;https://brinter360.com/agente/chrystel-castro/;+593 98 161 3854;Agentes inmobiliarios;;;;;;;;https://www.google.com/maps/search/?api=1&query=Chrystel%20Castro%20Asesor%20Inmobiliario%20BRinter%20360&query_place_id=ChIJVxWbjgxtLZARkXl_DSPbsK4;Agentes inmobiliarios;75
;GeoBienes;4.5;22.0;Sky Building piso 11 oficina 1104;Guayaquil;;EC;http://geobienes.com/;+593 99 925 6900;Agencia inmobiliaria;Promotora inmobiliaria;Agentes inmobiliarios;;;;;;https://www.google.com/maps/search/?api=1&query=GeoBienes&query_place_id=ChIJFYD8H6RtLZARjQHtGSuOFa4;Agencia inmobiliaria;75
;CozyHome Bienes Raíces;5.0;2.0;W4Q5+J9V;Guayaquil;;EC;https://www.facebook.com/Bienes-Raices-Dani-Glenda-103491171505456/;+593 98 597 2322;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=CozyHome%20Bienes%20Ra%C3%ADces&query_place_id=ChIJibiEAxITLZAR74AUy8do-Bo;Agencia de bienes inmuebles comerciales;75
;Plaza Sai Baba - Juan Tanca Marengo;4.1;562.0;5 y Av. Juan Tanca Marengo Km. 4;Guayaquil;;EC;http://inmobsaibaba.com/;+593 99 841 2987;Agencia inmobiliaria especializada en alquileres;;;;;;;;https://www.google.com/maps/search/?api=1&query=Plaza%20Sai%20Baba%20-%20Juan%20Tanca%20Marengo&query_place_id=ChIJyRBfBHxtLZAR6J-NYEnUATE;Agencia inmobiliaria especializada en alquileres;75
;Urbanización CostaSol;4.2;42.0;RX34+J5Q, Vía a la Costa Km 19;Guayaquil;;EC;https://costasol.com.ec/;+593 98 040 4040;Urbanización;Empresa constructora;;;;;;;https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20CostaSol&query_place_id=ChIJy89jAqF3LZARUN-1oWF16c4;Urbanización;75
;Victor Yanez Bienes Raices Brinter 360;5.0;4.0;Av. de las Américas 510;Guayaquil;;EC;https://brinter360.com/;+593 95 864 4857;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Victor%20Yanez%20Bienes%20Raices%20Brinter%20360&query_place_id=ChIJaUV6uWdtLZARYr3m76be9u0;Agencia de bienes inmuebles comerciales;75
;Graciela Cumbe Asesor Inmobiliario;5.0;3.0;593;Guayaquil;;EC;https://www.brinter360.com/;+593 98 179 2597;Agentes inmobiliarios;;;;;;;;https://www.google.com/maps/search/?api=1&query=Graciela%20Cumbe%20Asesor%20Inmobiliario&query_place_id=ChIJgwzZVodtLZARCWyBjJA9sZk;Agentes inmobiliarios;75
;Los Lienzos;5.0;1.0;Vía a la Costa Km 12;Guayaquil;;EC;http://www.promotorahidalgo.com/;+593 99 750 0533;Promotora inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=Los%20Lienzos&query_place_id=ChIJRVsSUSVzLZARxpvrG8uKBTI;Promotora inmobiliaria;75
;CONSPROMAVI S.A Constructora y Bienes Raices;4.6;5.0;2do Pasaje 5 NE;Guayaquil;;EC;https://conspromavi.com/;+593 4-213-2574;Empresa de construcción;Arquitecto;Promotora inmobiliaria;;;;;;https://www.google.com/maps/search/?api=1&query=CONSPROMAVI%20S.A%20Constructora%20y%20Bienes%20Raices&query_place_id=ChIJO2HkVBhtLZARrFweollA-Xc;Empresa de construcción;75
;Bosko;;;Acceso 1 S-O;Guayaquil;;EC;https://www.bosko.ec/;+593 99 089 9466;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Bosko&query_place_id=ChIJqfVFPgB1LZAR4XmY1F9lYOs;Urbanización;75
;Urb. Ciudad Olimpo etapa2;4.3;437.0;QWFG+78R;Guayaquil;;EC;http://ciudad-olimpo.com/;+593 98 881 3095;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Urb.%20Ciudad%20Olimpo%20etapa2&query_place_id=ChIJ-1M1lDR2LZARA79PRYhpV0Q;Urbanización;75
;Urbanización Bella Vita 2;4.6;34.0;QW5C+X4, Urbanización BellaVita 2;Guayaquil;;EC;https://www.bellavita.ec/;+593 99 425 3842;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20Bella%20Vita%202&query_place_id=ChIJU48GH9Z3LZARN-9HZ_nh294;Urbanización;75
;Urbanización Alba Del Bosque;4.6;48.0;Vía a la Costa Km. 18;Guayaquil;;EC;https://albadelbosque.com.ec/;+593 99 006 0300;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20Alba%20Del%20Bosque&query_place_id=ChIJF-IwTN51LZAR9QwG0TuHiK4;Urbanización;75
;Rivalty Elite Estate;5.0;1.0;;Guayaquil;;EC;https://rivaltyestate.lovable.app/;+593 98 308 8256;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Rivalty%20Elite%20Estate&query_place_id=ChIJ5UC076ZtLZARqspXpqAceZY;Agencia de bienes inmuebles comerciales;75
;VILLA BONITA (MI LOTE) JUAN JOSÉ DEL POZO;4.1;43.0;KM 16 VIA DAULE ENTRANDO POR LA BIG, COLA;Daule;;EC;http://www.plusvalia.com/;+593 99 871 4870;Promotora inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=VILLA%20BONITA%20(MI%20LOTE)%20JUAN%20JOS%C3%89%20DEL%20POZO&query_place_id=ChIJ7Vxzkk8MLZARlusLfLpvd6w;Promotora inmobiliaria;75
;Mundo Ambiensa - Sala de ventas;5.0;1.0;Edificio World Trade Center, Millenium Gallery, Local 45;Guayaquil;;EC;https://www.ambiensa.com/;;Agentes inmobiliarios;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mundo%20Ambiensa%20-%20Sala%20de%20ventas&query_place_id=ChIJ_dlBBk1tLZARrP6JMlHcIyw;Agentes inmobiliarios;65
;Inmohaus360;;;Álamos Norte Mz. 11 Villa 16;Guayaquil;;EC;http://inmohaus360.com/;;Agencia inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=Inmohaus360&query_place_id=ChIJqbFz6G1tLZARoa9782-Qn8E;Agencia inmobiliaria;65
;"Urbanizacion ""ALMANGLA""";;;Acceso 1 S-O;Guayaquil;;EC;https://www.imolux.ec/almangla/;;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Urbanizacion%20%22ALMANGLA%22&query_place_id=ChIJwddak2lzLZARx9y4sc7R4PU;Urbanización;65
;Inmobiliaria Leon - One-Bedroom Apartment;;;;Guayaquil;;EC;https://br.bluepillow.com/search/648581e87f7e24c1922cb920?dest=bkng&cat=House&lat=-2.1254&lng=-79.92166&language=pt;;Cámara;Vacation rental;;;;;;;https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Leon%20-%20One-Bedroom%20Apartment&query_place_id=ChIJVxczIqdyLZAR_20v6RlSIno;Cámara;65
;Inmobiliaria Vallejo;5.0;9.0;;;;;https://www.instagram.com/inmobiliariavallejo?igsh=MXUwa3ZvMXA5czMwMQ==;+593 96 951 5671;Agencia inmobiliaria;Service establishment;Consultor inmobiliario;Agencia inmobiliaria especializada en alquileres;;;;;https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Vallejo&query_place_id=ChIJp795hKJyLZARv1EbMabOxho;Agencia inmobiliaria;45
;Renace Grupo Inmobiliario;5.0;7.0;;;;;https://www.renacegrupoinmobiliario.com.ec/;+593 96 806 0919;Agencia inmobiliaria;Service establishment;;;;;;;https://www.google.com/maps/search/?api=1&query=Renace%20Grupo%20Inmobiliario&query_place_id=ChIJE5oRNJdqvwoRj6FQm878sXM;Agencia inmobiliaria;25
