email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source
nombre@mail.com,Máster Inmobiliario,https://www.plusvalia.com/inmobiliarias/master-inmobiliario_50271852-inmuebles.html,+593 99 800 5491,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=M%C3%A1ster%20Inmobiliario&query_place_id=ChIJGUpuC0ttLZARVInWEfGOt_8,75,free_scrape
orlando@gmail.com,Bosko,https://www.bosko.ec/,+593 99 089 9466,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Bosko&query_place_id=ChIJqfVFPgB1LZAR4XmY1F9lYOs,75,free_scrape
oym@marclub.com,Punta Blanca,http://www.puntablanca.com/,+593 4-228-4050,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Punta%20Blanca&query_place_id=ChIJXWzAJJVtLZARBpw36YQt1R0,75,csv
servicioalcliente@galilea.ec,Urb. Villa blanca,http://villablanca.ec/,+593 4-393-0142,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urb.%20Villa%20blanca&query_place_id=ChIJXRTHPxp3LZAR2lBsPVllXEU,75,free_scrape
spam-trap-no-reply@example.invalid,GeoBienes,http://geobienes.com/,+593 99 925 6900,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=GeoBienes&query_place_id=ChIJFYD8H6RtLZARjQHtGSuOFa4,75,free_scrape
ventas@ambiensa.com,Mundo Ambiensa - Sala de ventas,https://www.ambiensa.com/,+593 96 368 4470,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Mundo%20Ambiensa%20-%20Sala%20de%20ventas&query_place_id=ChIJR9Ucjtd3LZAR99t_9-yP810,75,free_scrape
ventas@conspromavi.com,CONSPROMAVI S.A Constructora y Bienes Raices,https://conspromavi.com/,+593 4-213-2574,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=CONSPROMAVI%20S.A%20Constructora%20y%20Bienes%20Raices&query_place_id=ChIJO2HkVBhtLZARrFweollA-Xc,75,free_scrape
ventas@portoalegre.com.ec,Urbanización Porto Alegre,https://portoalegre.com.ec/,+593 4-220-7218,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20Porto%20Alegre&query_place_id=ChIJEwVcJv9zLZARwScOtlnVsGI,75,free_scrape
josue-torres23@hotmail.com,Inmohaus360,http://inmohaus360.com/,,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Inmohaus360&query_place_id=ChIJqbFz6G1tLZARoa9782-Qn8E,65,free_scrape
ventas@imolux.ec,"Urbanizacion ""ALMANGLA""",https://www.imolux.ec/almangla/,,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizacion%20%22ALMANGLA%22&query_place_id=ChIJwddak2lzLZARx9y4sc7R4PU,65,free_scrape
info@renacegrupoinmobiliario.com.ec,Renace Grupo Inmobiliario,https://www.renacegrupoinmobiliario.com.ec/,+593 96 806 0919,,,,https://www.google.com/maps/search/?api=1&query=Renace%20Grupo%20Inmobiliario&query_place_id=ChIJE5oRNJdqvwoRj6FQm878sXM,25,free_scrape
