Company_Name,Decision_Maker_Name,Title,Email,Phone,Address,Zip,City,State,County,Website,Branch_Location_Count,Branch_Count_Method,Branch_Count_Note,Source_URL,Maps_Category,Email_Source,Branch_Count_Confidence
PEPSI Technology Process Center,,,,(800) 352-4477,3420 Duncanville Rd,,Dallas,Texas,Dallas,http://www.fritolay.com/,362,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=PEPSI%20Technology%20Process%20Center&query_place_id=ChIJhzf-uw6QToYRFy4EnfwXah0,Corporate office,not_found,low
Goodwill Industries of Dallas,,,,(214) 638-2800,3020 N Westmoreland Rd suite a,,Dallas,Texas,Dallas,https://www.goodwilldallas.org/,12,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Goodwill%20Industries%20of%20Dallas&query_place_id=ChIJmbcYy8WbToYRw6H5hhKCmek,Thrift store,not_found,low
United States Post Office Network Distribution Center,,,,(800) 222-1811,2400 Dallas Fort Worth Turnpike,,Dallas,Texas,Dallas,http://www.usps.com/,15,location_page_link_count,Estimado desde web (location_page_link_count); validar en muestra.,https://www.google.com/maps/search/?api=1&query=United%20States%20Post%20Office%20Network%20Distribution%20Center&query_place_id=ChIJm-bcTbebToYR7naRLybj-Xk,Federal government office,not_found,low
US Veterans Affairs Department,,,,(214) 742-8387,"Freedom Garage, 4500 S Lancaster Rd",,Dallas,Texas,Dallas,http://www.va.gov/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=US%20Veterans%20Affairs%20Department&query_place_id=ChIJoV7orp-XToYRdwYcklUmCQU,Veterans affairs department,not_found,low
L'oreal Warehouse,,,,(212) 818-1500,3434 Altamoore Dr,,Dallas,Texas,Dallas,https://www.loreal.com/en/usa/,17,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=L'oreal%20Warehouse&query_place_id=ChIJ__kfAHKWToYRvCKSE4hBtsk,Distribution service,not_found,low
Social Security Administration,,,,(866) 572-2492,10824 N Central Expy,,Dallas,Texas,Dallas,https://www.ssa.gov/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Social%20Security%20Administration&query_place_id=ChIJZfrF0-GfToYRr_-Cp_YpAsk,Government office,not_found,low
KEHE Dallas,,,,(855) 938-1462,4450 Logistics Dr,,Dallas,Texas,Dallas,https://www.kehe.com/news-blog/news/kehe-distributors-opens-largest-distribution-center-in-dallas-texas/,19,regex_locations_phrase_on_page,Estimado desde web (regex_locations_phrase_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=KEHE%20Dallas&query_place_id=ChIJ2xm9pV2_ToYR01Ir2uZwHAY,Warehouse,not_found,medium
Bell Partners Inc. - Dallas Regional Office,,,,(336) 387-5431,13455 Noel Rd #2100,,Dallas,Texas,Dallas,https://www.bellpartnersinc.com/,367,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Bell%20Partners%20Inc.%20-%20Dallas%20Regional%20Office&query_place_id=ChIJbSW0tokhTIYRJ0SeUc8lCHc,District office,not_found,low
Nations Best Holdings LLC,,,,(972) 829-3700,5151 Belt Line Rd,,Dallas,Texas,Dallas,https://nationsbest.net/contact/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Nations%20Best%20Holdings%20LLC&query_place_id=ChIJq6oa4TshTIYRjQwUHe6GQb4,Holding company,not_found,low
Campero USA Corp.,,,,(972) 770-2800,12404 Park Central Dr #250,,Dallas,Texas,Dallas,https://us.campero.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Campero%20USA%20Corp.%20Home%20Office&query_place_id=ChIJ_ZoPEmogTIYRfkXZkU9MQIM,Corporate office,not_found,low
RJR Passports,,,,(800) 783-8472,"RJR Passports, 5200 Keller Springs Rd APT 1432",,Dallas,Texas,Dallas,http://www.rjrpassports.com/,2,json_ld_localbusiness_count,Estimado desde web (json_ld_localbusiness_count); validar en muestra.,https://www.google.com/maps/search/?api=1&query=RJR%20Passports&query_place_id=ChIJB7nc9SGZToYR1BkAZ1geRig,Visa and passport office,not_found,medium
Quality Custom Distribution (QCD),,,,(469) 718-1554,3900 N Dallas Ave,,Lancaster,Texas,Dallas,https://www.qualitycustomdistribution.com/,43,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Quality%20Custom%20Distribution%20(QCD)&query_place_id=ChIJiUYaXXKWToYRab4VDZDnewA,Food products supplier,not_found,low
Pilot Flying J,,,,(877) 866-7378,3102 Oak Lawn Ave Ste 410,,Dallas,Texas,Dallas,https://pilotcompany.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Pilot%20Flying%20J%20Corporate%20Office&query_place_id=ChIJkdPiO82fToYRLApaVr5pStg,Corporate office,not_found,low
Southwest Region Conference,,,,(214) 943-4491,2550 Beckleymeade Ave Suite 135,,Dallas,Texas,Dallas,http://southwestregionsda.org/,6,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Southwest%20Region%20Conference&query_place_id=ChIJI7be9hiZToYR0g3dfXnX_ok,Corporate office,not_found,low
Lavaro Capital Holdings,,,,(214) 462-7140,8235 Douglas Ave Suite 950,,Dallas,Texas,Dallas,https://lavorocapital.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Lavaro%20Capital%20Holdings&query_place_id=ChIJaeBFVE-fToYRsFg5AbCZIEI,Investment company,not_found,low
Catalyst Holdings,,,,(214) 932-3030,"Centrum, 3102 Oak Lawn Ave UNIT 530",,Dallas,Texas,Dallas,http://www.catalystholdco.com/,46,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Catalyst%20Holdings&query_place_id=ChIJ1drHbdCeToYRBBmSJ4c9amI,Investment service,not_found,low
Last Email * Message * Submit Sethi Holding Company,,,,(469) 206-6965,1910 Pacific Ave Suite 16700,,Dallas,Texas,Dallas,http://sethiholding.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Last%20Email%20*%20Message%20*%20Submit%20Sethi%20Holding%20Company&query_place_id=ChIJNRrw0CGZToYR3zR4L1ZENtU,Holding company,not_found,
Bodle Property Holdings LLC,,,,(817) 676-8010,12830 Hillcrest Rd,,Dallas,Texas,Dallas,https://www.bodlepropertyholdingsllc.com/contact-us/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Bodle%20Property%20Holdings%20LLC&query_place_id=ChIJDeoyilsgTIYRs0u6q8eq9Ys,Real estate agency,not_found,low
JTG Holdings,,,,(972) 231-8200,5005 Lyndon B Johnson Fwy Suite 350,,Dallas,Texas,Dallas,http://jtgholdings.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=JTG%20Holdings&query_place_id=ChIJVVWV3dogTIYRtLYE7-HQiq0,Holding company,not_found,low
Reece USA,,,,(877) 709-2227,15850 Dallas Pkwy,,Dallas,Texas,Dallas,http://www.reece.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Reece%20USA&query_place_id=ChIJfcDzDhRxToYRx8CI_XOXmM8,Corporate office,not_found,low
Weatherization Partners,,,,(800) 288-9835,2424 N Westmoreland Rd Suite 200,,Dallas,Texas,Dallas,https://www.weatherizationpartners.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Weatherization%20Partners&query_place_id=ChIJd0KWxvmcToYR0syo_DnVfGA,Corporate office,not_found,low
MidFirst Bank - Regional Office,,,,(214) 743-8200,1920 McKinney Ave Suite 900,,Dallas,Texas,Dallas,https://www.midfirst.com/?utm_source=Google&utm_medium=Yext,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=MidFirst%20Bank%20-%20Regional%20Office&query_place_id=ChIJszRcyQCZToYR5B4VNqF8BgM,Corporate office,not_found,low
TEXCON,,,,(214) 769-1217,5942 Averill Way,,Dallas,Texas,Dallas,http://texconllc.com/,13,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=TEXCON&query_place_id=ChIJvd-7kZG85BQReuV8IGn4awM,Corporate office,not_found,low
La La,,,,,1020 E Levee St # 100,,Dallas,Texas,Dallas,https://lalalandkindcafe.com/?srsltid=AfmBOoo5PXLyQUWQAAM6UkXO2IbcNRZv6_Fp0elnlcklDDD-5vGpgkSt,14,regex_locations_phrase_on_page,Estimado desde web (regex_locations_phrase_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=La%20La%20Corporate%20Office&query_place_id=ChIJv7UhFgCZToYRGEh1bEvSj2s,Corporate office,not_found,medium
Zavate,,,,(702) 329-9772,611 W Mockingbird Ln,,Dallas,Texas,Dallas,http://zavate.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Zavate&query_place_id=ChIJUzltzwSdToYRrnAVRPDdwUY,Corporate office,not_found,low
Wolfe Investments,,,,(972) 599-0661,8350 N Central Expy 19th floor,,Dallas,Texas,Dallas,https://wolfe-investments.com/,8,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Wolfe%20Investments&query_place_id=ChIJAQDwW_UiTIYRaiJX3An40oY,Investment company,not_found,low
United States Patent and Trademark Office (USPTO) Texas Regional Office,,,,(469) 295-9000,207 S Houston St #159,,Dallas,Texas,Dallas,http://www.uspto.gov/texas,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=United%20States%20Patent%20and%20Trademark%20Office%20(USPTO)%20Texas%20Regional%20Office&query_place_id=ChIJ4V3ZnhaZToYRPawn4G5Tm08,Federal government office,not_found,low
HQ Painting & Remodeling,,,,(469) 818-0022,,,,Texas,Dallas,http://hqpainting.org/,7,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=HQ%20Painting%20%26%20Remodeling&query_place_id=ChIJJbUl_PArim8RptjD1Dbdk1E,Painter,not_found,low
Lone Star Regional Service Office of Narcotics Anonymous,,,,(214) 570-1900,10420 Plano Rd #101,,Dallas,Texas,Dallas,https://lsrso.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Lone%20Star%20Regional%20Service%20Office%20of%20Narcotics%20Anonymous&query_place_id=ChIJr8gHtYWgToYRTZLXX7cvGTI,Regional government office,not_found,low
EPA Region 6,,,,(800) 887-6063,1201 Elm St,,Dallas,Texas,Dallas,https://www.epa.gov/aboutepa/epa-region-6-south-central,16,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=EPA%20Region%206&query_place_id=ChIJndn8KCOZToYRD_WKcRlmj14,Federal government office,not_found,low
Speed Commerce - Old Corp HQ,,,,(866) 377-3331,10300 Sanden Dr Suite 100,,Garland,Texas,Dallas,http://www.speedcommerce.com/,34,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Speed%20Commerce%20-%20Old%20Corp%20HQ&query_place_id=ChIJeQaMeJCgToYRySs_Fg_Tz5Q,Manufacturer,not_found,low
The Hanover Insurance Group Regional Office,,,,(214) 615-1510,8750 N Central Expy Suite 777,,Dallas,Texas,Dallas,http://www.hanover.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=The%20Hanover%20Insurance%20Group%20Regional%20Office&query_place_id=ChIJ2RHOlxGfToYR2hLObK93IgI,Insurance company,not_found,low
KIPP Texas DFW Regional Office,,,,,3833 Simpson Stuart Rd,,Dallas,Texas,Dallas,https://kipptexas.org/our-schools/dallas/,73,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=KIPP%20Texas%20DFW%20Regional%20Office&query_place_id=ChIJH9OgqIaRToYRm5iZj3pri18,Non-profit organization,not_found,low
Sammons Enterprises Inc,,,,(214) 210-5000,5949 Sherry Ln # 1900,,Dallas,Texas,Dallas,https://www.sammonsenterprises.com/,37,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Sammons%20Enterprises%20Inc&query_place_id=ChIJMwi6CUOeToYRyQ0MY6Ek_7M,Holding company,not_found,low
Office of Disability Adjudication and Review,,,,(214) 767-9401,1301 Young St,,Dallas,Texas,Dallas,http://www.ssa.gov/appeals/ho_locator.html,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Office%20of%20Disability%20Adjudication%20and%20Review&query_place_id=ChIJtVF-bhmZToYR6j2zawWfUZQ,Federal government office,not_found,low
CMB Regional Centers Dallas,,,,(309) 797-1550,5910 N Central Expy #1000,,Dallas,Texas,Dallas,https://www.cmbeb5visa.com/,10,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=CMB%20Regional%20Centers%20Dallas&query_place_id=ChIJ_XMgXlifToYRsY9z5v0Gv4c,Visa consulting service,not_found,low
The Nayeb Group,,,,(214) 884-8777,6336 Greenville Ave,,Dallas,Texas,Dallas,http://nayebgroup.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=The%20Nayeb%20Group&query_place_id=ChIJq6paJTMgTIYRS1rvQl7M1lQ,Property investment company,not_found,low
Travis Street Hospitality,,,,,4501 Travis St B,,Dallas,Texas,Dallas,https://tshdallas.com/,5,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Travis%20Street%20Hospitality&query_place_id=ChIJGbQKnVmfToYReutcTSTkv-U,Holding company,not_found,low
Sixty74,,,,,4849 Greenville Ave,,Dallas,Texas,Dallas,https://sixty74.com/,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=Sixty74&query_place_id=ChIJN42LnKSfToYRM6jCU81ZFqQ,Holding company,not_found,low
Seagoville High School,,,,(972) 892-5900,15920 Seagoville Rd,,Dallas,Texas,Dallas,https://seagovillehigh.dallasisd.org/,11,unique_zip_codes_on_page,Estimado desde web (unique_zip_codes_on_page); validar en muestra.,https://www.google.com/maps/search/?api=1&query=Seagoville%20High%20School&query_place_id=ChIJW-m5yX-6ToYR_TXQmnipD-o,General education school,not_found,low
HQ West 2nd Street,,,,(855) 400-3575,"115 West 2nd Street 1st, 2nd and 3rd Floors",,Pueblo,CO,Dallas,https://www.hq.com/en/united-states/10985?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall,1,maps_hq_only_single_listing,Solo 1 pin en scrape Dallas. Para conteo TX/franquicia real: 2º run Apify por nombre de marca en Texas.,https://www.google.com/maps/search/?api=1&query=HQ%20West%202nd%20Street&query_place_id=ChIJM-EeCwqjToYRDJ6CfaPsV2U,Office space rental agency,not_found,low
